"","npoints"
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Alvin_French Al_Jr 2020.csv",872434
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Alvin_French C41 2020.csv",428765
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Alvin_French D42 2020.csv",289643
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Alvin_French H52_H54 2020.csv",362000
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Alvin_French Zoltan 2020.csv",1234800
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard All_27_11_25 2016.csv",130647
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard All_27_11_25 2017.csv",117943
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard All_27_11_25 2018.csv",114598
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard All_27_11_25 2019.csv",137806
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard All_27_11_25 2020.csv",184896
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_21_11_25 2016.csv",56494
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_21_11_25 2017.csv",55020
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_21_11_25 2018.csv",81100
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_21_11_25 2019.csv",70819
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_21_11_25 2020.csv",91391
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_23_11_25 2017.csv",57584
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_23_11_25 2018.csv",52325
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_23_11_25 2019.csv",52961
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_23_11_25 2020.csv",96425
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_29_11_25 2016.csv",63874
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_29_11_25 2017.csv",71258
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_29_11_25 2018.csv",32970
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_29_11_25 2019.csv",71095
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard E_29_11_25 2020.csv",70287
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard NE_14_11_25 2016.csv",23854
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard NE_14_11_25 2017.csv",25788
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard NE_14_11_25 2018.csv",11666
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard NE_14_11_25 2019.csv",24161
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard NE_14_11_25 2020.csv",29541
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard NE_23_11_25 2016.csv",31769
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard SE_23_11_25 2016.csv",33095
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard SW_30_11_24 2016.csv",35367
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard SW_30_11_24 2017.csv",33626
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard SW_30_11_24 2018.csv",21447
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard SW_30_11_24 2020.csv",54919
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_15_11_25 2016.csv",47728
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_15_11_25 2017.csv",66051
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_15_11_25 2018.csv",69477
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_15_11_25 2019.csv",61454
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_15_11_25 2020.csv",70834
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_23_11_25 2016.csv",69099
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_23_11_25 2017.csv",58579
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_23_11_25 2018.csv",32979
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_23_11_25 2019.csv",66591
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_23_11_25 2020.csv",62907
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_26_11_25 2016.csv",48293
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_26_11_25 2017.csv",75797
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_26_11_25 2018.csv",44841
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_26_11_25 2019.csv",65801
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Dean_Hubbard W_26_11_25 2020.csv",64558
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bellands_Hein 2014.csv",23337
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bellands_Hein 2015.csv",25721
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bellands_Hein 2016.csv",19213
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bellands_Hein 2017.csv",33760
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bellands_Hein 2018.csv",75719
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Berts 2014.csv",59573
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Berts 2015.csv",43259
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Berts 2016.csv",54025
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Berts 2017.csv",29932
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Berts 2018.csv",154924
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Berts 2019.csv",96102
"/media/rsamuel/Storage/geoData/Rasters/yieldData/csv files/Gibbons Bill_Visser 2014.csv",34516
